N_OF_STATIONS,CW_MIN,CW_MAX,SEED,P_COLL,THR,FAILED_TRANSMISSIONS,SUCCEEDED_TRANSMISSIONS,PAYLOAD,MCS,THR_STD
1,15.0,1023.0,2.0,0.0,26.154496,0.0,4442.0,1472.0,7.0,0.06635439011851392
2,15.0,1023.0,2.0,0.062259999999999996,29.5777792,333.6,5023.4,1472.0,7.0,0.14980303244994767
3,15.0,1023.0,2.0,0.10844000000000001,30.622310399999996,632.6,5200.8,1472.0,7.0,0.22691346709439686
4,15.0,1023.0,2.0,0.14973999999999998,30.8837376,923.8,5245.2,1472.0,7.0,0.14926980012313368
5,15.0,1023.0,2.0,0.17514,31.095705599999995,1121.4,5281.2,1472.0,7.0,0.11983201126910929
6,15.0,1023.0,2.0,0.2072,30.844876799999998,1369.2,5238.6,1472.0,7.0,0.05969862915678996
7,15.0,1023.0,2.0,0.23251999999999998,30.6435072,1576.8,5204.4,1472.0,7.0,0.04936799209204454
8,15.0,1023.0,2.0,0.2524,30.491596800000003,1748.4,5178.6,1472.0,7.0,0.08395305232807183
9,15.0,1023.0,2.0,0.27632,30.196019200000002,1958.2,5128.4,1472.0,7.0,0.11765691488051264
10,15.0,1023.0,2.0,0.29086,30.0393984,2092.6,5101.8,1472.0,7.0,0.13564142545992353
