TIMESTAMP,CW_MIN,CW_MAX,N_OF_STATIONS,SEED,P_COLL,THR,FAILED_TRANSMISSIONS,SUCCEEDED_TRANSMISSIONS,PAYLOAD,MCS,BACKOFF_STRATEGY
2026-06-02 07:38:48.258646,15,1023,1,0,0.0,26.125056,0,4437,1472,7,beb
2026-06-02 07:38:48.691231,15,1023,2,0,0.055,29.752064,294,5053,1472,7,beb
2026-06-02 07:38:49.303543,15,1023,3,0,0.1036,30.7648,604,5225,1472,7,beb
2026-06-02 07:38:50.044852,15,1023,4,0,0.1425,31.076864,877,5278,1472,7,beb
2026-06-02 07:38:50.861403,15,1023,5,0,0.1674,31.306496,1069,5317,1472,7,beb
2026-06-02 07:38:51.794364,15,1023,6,0,0.2086,30.817792,1380,5234,1472,7,beb
2026-06-02 07:38:52.891571,15,1023,7,0,0.2332,30.694144,1585,5213,1472,7,beb
2026-06-02 07:38:54.172856,15,1023,8,0,0.2562,30.364416,1776,5157,1472,7,beb
2026-06-02 07:38:55.489274,15,1023,9,0,0.2821,30.034688,2004,5101,1472,7,beb
2026-06-02 07:38:56.951536,15,1023,10,0,0.286,30.105344,2048,5113,1472,7,beb
2026-06-02 07:38:57.215571,15,1023,1,1,0.0,26.178048,0,4446,1472,7,beb
2026-06-02 07:38:57.723779,15,1023,2,1,0.0682,29.422336,366,4997,1472,7,beb
2026-06-02 07:38:58.335665,15,1023,3,1,0.117,30.364416,683,5157,1472,7,beb
2026-06-02 07:38:59.090299,15,1023,4,1,0.1486,30.929664,917,5253,1472,7,beb
2026-06-02 07:39:00.009072,15,1023,5,1,0.1788,31.012096,1147,5267,1472,7,beb
2026-06-02 07:39:00.996583,15,1023,6,1,0.2095,30.776576,1385,5227,1472,7,beb
2026-06-02 07:39:02.234143,15,1023,7,1,0.2322,30.6176,1573,5200,1472,7,beb
2026-06-02 07:39:03.459437,15,1023,8,1,0.2543,30.488064,1766,5178,1472,7,beb
2026-06-02 07:39:04.738658,15,1023,9,1,0.2793,30.158336,1985,5122,1472,7,beb
2026-06-02 07:39:06.285373,15,1023,10,1,0.2948,29.975808,2128,5091,1472,7,beb
2026-06-02 07:39:06.543101,15,1023,1,2,0.0,26.136832,0,4439,1472,7,beb
2026-06-02 07:39:07.006079,15,1023,2,2,0.0682,29.422336,366,4997,1472,7,beb
2026-06-02 07:39:07.571220,15,1023,3,2,0.1152,30.4704,674,5175,1472,7,beb
2026-06-02 07:39:08.307240,15,1023,4,2,0.1556,30.67648,960,5210,1472,7,beb
2026-06-02 07:39:09.114892,15,1023,5,2,0.1755,31.070976,1123,5277,1472,7,beb
2026-06-02 07:39:10.108314,15,1023,6,2,0.2058,30.923776,1361,5252,1472,7,beb
2026-06-02 07:39:11.234167,15,1023,7,2,0.2347,30.570496,1592,5192,1472,7,beb
2026-06-02 07:39:12.508500,15,1023,8,2,0.2521,30.4704,1744,5175,1472,7,beb
2026-06-02 07:39:13.902015,15,1023,9,2,0.275,30.193664,1945,5128,1472,7,beb
2026-06-02 07:39:15.365168,15,1023,10,2,0.2835,30.228992,2031,5134,1472,7,beb
2026-06-02 07:39:15.619547,15,1023,1,3,0.0,26.254592,0,4459,1472,7,beb
2026-06-02 07:39:16.061303,15,1023,2,3,0.0608,29.67552,326,5040,1472,7,beb
2026-06-02 07:39:16.631770,15,1023,3,3,0.097,30.929664,564,5253,1472,7,beb
2026-06-02 07:39:17.352715,15,1023,4,3,0.1508,30.923776,933,5252,1472,7,beb
2026-06-02 07:39:18.142339,15,1023,5,3,0.1791,31.035648,1150,5271,1472,7,beb
2026-06-02 07:39:19.092026,15,1023,6,3,0.2086,30.817792,1380,5234,1472,7,beb
2026-06-02 07:39:20.177918,15,1023,7,3,0.2328,30.670592,1581,5209,1472,7,beb
2026-06-02 07:39:21.325477,15,1023,8,3,0.2501,30.570496,1732,5192,1472,7,beb
2026-06-02 07:39:22.675016,15,1023,9,3,0.2707,30.358528,1914,5156,1472,7,beb
2026-06-02 07:39:24.204404,15,1023,10,3,0.299,29.869824,2164,5073,1472,7,beb
2026-06-02 07:39:24.510990,15,1023,1,4,0.0,26.077952,0,4429,1472,7,beb
2026-06-02 07:39:24.982682,15,1023,2,4,0.0591,29.61664,316,5030,1472,7,beb
2026-06-02 07:39:25.551777,15,1023,3,4,0.1094,30.582272,638,5194,1472,7,beb
2026-06-02 07:39:26.222720,15,1023,4,4,0.1512,30.811904,932,5233,1472,7,beb
2026-06-02 07:39:27.031988,15,1023,5,4,0.1749,31.053312,1118,5274,1472,7,beb
2026-06-02 07:39:27.981361,15,1023,6,4,0.2035,30.888448,1340,5246,1472,7,beb
2026-06-02 07:39:29.035036,15,1023,7,4,0.2297,30.664704,1553,5208,1472,7,beb
2026-06-02 07:39:30.327663,15,1023,8,4,0.2493,30.564608,1724,5191,1472,7,beb
2026-06-02 07:39:31.705376,15,1023,9,4,0.2745,30.23488,1943,5135,1472,7,beb
2026-06-02 07:39:33.318870,15,1023,10,4,0.291,30.017024,2092,5098,1472,7,beb
