N_OF_STATIONS,CW_MIN,CW_MAX,SEED,P_COLL,THR,FAILED_TRANSMISSIONS,SUCCEEDED_TRANSMISSIONS,PAYLOAD,MCS,THR_STD
1,15.0,1023.0,2.0,0.0,26.154496,0.0,4442.0,1472.0,7.0,0.06635439011851392
2,15.0,1023.0,2.0,0.00876,7.4412544,10.8,1263.8,1472.0,7.0,1.2339076328010943
3,15.0,1023.0,2.0,0.0107,10.203904,18.4,1733.0,1472.0,7.0,1.5213445802026573
4,15.0,1023.0,2.0,0.01584,10.4441344,28.4,1773.8,1472.0,7.0,0.49843928417892497
5,15.0,1023.0,2.0,0.0195,11.072972799999999,37.4,1880.6,1472.0,7.0,0.2229912389740906
6,15.0,1023.0,2.0,0.01996,13.165567999999999,44.8,2236.0,1472.0,7.0,1.7020903465750574
7,15.0,1023.0,2.0,0.0218,14.095872,53.2,2394.0,1472.0,7.0,0.5918391963227848
8,15.0,1023.0,2.0,0.02666,14.973184,69.6,2543.0,1472.0,7.0,0.3537458262199004
9,15.0,1023.0,2.0,0.029559999999999996,15.975321600000001,82.6,2713.2,1472.0,7.0,0.25951990372377987
10,15.0,1023.0,2.0,0.028699999999999996,17.2082688,86.0,2922.6,1472.0,7.0,0.6080425591841417
