TIMESTAMP,CW_MIN,CW_MAX,N_OF_STATIONS,SEED,P_COLL,THR,FAILED_TRANSMISSIONS,SUCCEEDED_TRANSMISSIONS,PAYLOAD,MCS,BACKOFF_STRATEGY
2026-06-02 07:40:15.453659,15,1023,1,0,0.0,26.125056,0,4437,1472,7,eied
2026-06-02 07:40:15.565757,15,1023,2,0,0.0075,7.789824,10,1323,1472,7,eied
2026-06-02 07:40:15.779520,15,1023,3,0,0.0076,12.347136,16,2097,1472,7,eied
2026-06-02 07:40:15.991594,15,1023,4,0,0.0198,9.915392,34,1684,1472,7,eied
2026-06-02 07:40:16.257817,15,1023,5,0,0.019,10.957568,36,1861,1472,7,eied
2026-06-02 07:40:16.583698,15,1023,6,0,0.0225,12.005632,47,2039,1472,7,eied
2026-06-02 07:40:17.020962,15,1023,7,0,0.0197,14.66112,50,2490,1472,7,eied
2026-06-02 07:40:17.541983,15,1023,8,0,0.0209,14.89664,54,2530,1472,7,eied
2026-06-02 07:40:18.127070,15,1023,9,0,0.0281,16.10368,79,2735,1472,7,eied
2026-06-02 07:40:18.878387,15,1023,10,0,0.0338,16.498176,98,2802,1472,7,eied
2026-06-02 07:40:19.165735,15,1023,1,1,0.0,26.178048,0,4446,1472,7,eied
2026-06-02 07:40:19.270617,15,1023,2,1,0.0109,6.394368,12,1086,1472,7,eied
2026-06-02 07:40:19.477251,15,1023,3,1,0.0086,9.532672,14,1619,1472,7,eied
2026-06-02 07:40:19.769005,15,1023,4,1,0.0136,11.116544,26,1888,1472,7,eied
2026-06-02 07:40:20.029291,15,1023,5,1,0.0188,11.06944,36,1880,1472,7,eied
2026-06-02 07:40:20.475756,15,1023,6,1,0.0144,16.16256,40,2745,1472,7,eied
2026-06-02 07:40:20.889576,15,1023,7,1,0.0197,13.501184,46,2293,1472,7,eied
2026-06-02 07:40:21.410105,15,1023,8,1,0.0255,15.297024,68,2598,1472,7,eied
2026-06-02 07:40:22.046040,15,1023,9,1,0.0297,16.168448,84,2746,1472,7,eied
2026-06-02 07:40:22.753570,15,1023,10,1,0.021,18.099712,66,3074,1472,7,eied
2026-06-02 07:40:23.046737,15,1023,1,2,0.0,26.136832,0,4439,1472,7,eied
2026-06-02 07:40:23.186057,15,1023,2,2,0.0064,9.179392,10,1559,1472,7,eied
2026-06-02 07:40:23.355043,15,1023,3,2,0.0154,9.055744,24,1538,1472,7,eied
2026-06-02 07:40:23.573453,15,1023,4,2,0.0172,10.086144,30,1713,1472,7,eied
2026-06-02 07:40:23.849972,15,1023,5,2,0.0188,10.769152,35,1829,1472,7,eied
2026-06-02 07:40:24.250669,15,1023,6,2,0.0207,12.252928,44,2081,1472,7,eied
2026-06-02 07:40:24.687286,15,1023,7,2,0.026,13.683712,62,2324,1472,7,eied
2026-06-02 07:40:25.272533,15,1023,8,2,0.0273,15.10272,72,2565,1472,7,eied
2026-06-02 07:40:25.850585,15,1023,9,2,0.0318,15.579648,87,2646,1472,7,eied
2026-06-02 07:40:26.604128,15,1023,10,2,0.0317,16.904448,94,2871,1472,7,eied
2026-06-02 07:40:26.900177,15,1023,1,3,0.0,26.254592,0,4459,1472,7,eied
2026-06-02 07:40:26.995351,15,1023,2,3,0.0114,6.111744,12,1038,1472,7,eied
2026-06-02 07:40:27.203652,15,1023,3,3,0.0114,11.234304,22,1908,1472,7,eied
2026-06-02 07:40:27.443761,15,1023,4,3,0.0146,10.315776,26,1752,1472,7,eied
2026-06-02 07:40:27.756256,15,1023,5,3,0.0195,11.240192,38,1909,1472,7,eied
2026-06-02 07:40:28.107979,15,1023,6,3,0.0227,12.682752,50,2154,1472,7,eied
2026-06-02 07:40:28.589194,15,1023,7,3,0.0195,14.796544,50,2513,1472,7,eied
2026-06-02 07:40:29.093532,15,1023,8,3,0.0324,14.39616,82,2445,1472,7,eied
2026-06-02 07:40:29.726329,15,1023,9,3,0.0283,16.180224,80,2748,1472,7,eied
2026-06-02 07:40:30.539020,15,1023,10,3,0.0275,17.469696,84,2967,1472,7,eied
2026-06-02 07:40:30.874492,15,1023,1,4,0.0,26.077952,0,4429,1472,7,eied
2026-06-02 07:40:30.985187,15,1023,2,4,0.0076,7.730944,10,1313,1472,7,eied
2026-06-02 07:40:31.164344,15,1023,3,4,0.0105,8.849664,16,1503,1472,7,eied
2026-06-02 07:40:31.382693,15,1023,4,4,0.014,10.786816,26,1832,1472,7,eied
2026-06-02 07:40:31.665956,15,1023,5,4,0.0214,11.328512,42,1924,1472,7,eied
2026-06-02 07:40:32.005936,15,1023,6,4,0.0195,12.723968,43,2161,1472,7,eied
2026-06-02 07:40:32.481168,15,1023,7,4,0.0241,13.8368,58,2350,1472,7,eied
2026-06-02 07:40:33.006960,15,1023,8,4,0.0272,15.173376,72,2577,1472,7,eied
2026-06-02 07:40:33.593416,15,1023,9,4,0.0299,15.844608,83,2691,1472,7,eied
2026-06-02 07:40:34.328134,15,1023,10,4,0.0295,17.069312,88,2899,1472,7,eied
