N_OF_STATIONS,CW_MIN,CW_MAX,SEED,P_COLL,THR,FAILED_TRANSMISSIONS,SUCCEEDED_TRANSMISSIONS,PAYLOAD,MCS,THR_STD
1,15.0,1023.0,2.0,0.0,30.4079872,0.0,5164.4,1472.0,7.0,0.03874465066560927
2,15.0,1023.0,2.0,0.036059999999999995,25.064038399999998,159.2,4256.8,1472.0,7.0,0.3021410433238088
3,15.0,1023.0,2.0,0.05926,27.069491199999998,289.4,4597.4,1472.0,7.0,0.4880580212589484
4,15.0,1023.0,2.0,0.08196,27.962112,424.0,4749.0,1472.0,7.0,0.05990153841096264
5,15.0,1023.0,2.0,0.10156000000000001,28.859443199999998,554.0,4901.4,1472.0,7.0,0.11868373699542945
6,15.0,1023.0,2.0,0.12156,29.336371200000002,689.4,4982.4,1472.0,7.0,0.07993380173118227
7,15.0,1023.0,2.0,0.14452,29.560115200000002,848.2,5020.4,1472.0,7.0,0.16822583769207414
8,15.0,1023.0,2.0,0.16052,29.8898432,970.6,5076.4,1472.0,7.0,0.1751420216030386
9,15.0,1023.0,2.0,0.178,30.052352000000003,1105.2,5104.0,1472.0,7.0,0.24589009889786234
10,15.0,1023.0,2.0,0.19492,30.1336064,1239.2,5117.8,1472.0,7.0,0.15658095132167238
